"County.Number","County"
70,"Muscatine"
5,"Audubon"
50,"Jasper"
77,"Polk"
43,"Harrison"
57,"Linn"
39,"Guthrie"
7,"Black Hawk"
35,"Franklin"
44,"Henry"
42,"Hardin"
29,"Des Moines"
78,"Pottawattamie"
56,"Lee"
82,"Scott"
22,"Clayton"
58,"Louisa"
92,"Washington"
15,"Cass"
90,"Wapello"
16,"Cedar"
52,"Johnson"
51,"Jefferson"
10,"Buchanan"
91,"Warren"
54,"Keokuk"
49,"Jackson"
28,"Delaware"
94,"Webster"
83,"Shelby"
85,"Story"
38,"Grundy"
89,"Van Buren"
1,"Adair"
48,"Iowa"
25,"Dallas"
31,"Dubuque"
53,"Jones"
79,"Poweshiek"
62,"Mahaska"
33,"Fayette"
12,"Butler"
17,"Cerro Gordo"
24,"Crawford"
64,"Marshall"
99,"Wright"
98,"Worth"
23,"Clinton"
95,"Winnebago"
14,"Carroll"
20,"Clarke"
30,"Dickinson"
61,"Madison"
37,"Greene"
8,"Boone"
71,"O'Brien"
27,"Decatur"
63,"Marion"
97,"Woodbury"
4,"Appanoose"
11,"Buena Vista"
67,"Monona"
9,"Bremer"
13,"Calhoun"
47,"Ida"
81,"Sac"
93,"Wayne"
59,"Lucas"
55,"Kossuth"
3,"Allamakee"
26,"Davis"
41,"Hancock"
96,"Winneshiek"
40,"Hamilton"
18,"Cherokee"
60,"Lyon"
66,"Mitchell"
21,"Clay"
73,"Page"
75,"Plymouth"
86,"Tama"
46,"Humboldt"
88,"Union"
87,"Taylor"
6,"Benton"
34,"Floyd"
84,"Sioux"
45,"Howard"
74,"Palo Alto"
80,"Ringgold"
76,"Pocahontas"
69,"Montgomery"
36,"Fremont"
32,"Emmet"
2,"Adams"
65,"Mills"
NA,""
68,"Monroe"
19,"Chickasaw"
72,"Osceola"
